Database,Version,Table,Year,System,Flow,Satellite account,Unit,Region,Sector,Item,Value,Type
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,FI,Commodity,"Electric power generation, transmission and distribution",157.88361165686646,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,FR,Commodity,"Electric power generation, transmission and distribution",105.60720439614052,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,HR,Commodity,"Electric power generation, transmission and distribution",220.9524101359887,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,HU,Commodity,"Electric power generation, transmission and distribution",234.32720290036363,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,IE,Commodity,"Electric power generation, transmission and distribution",395.58391791440727,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,IT,Commodity,"Electric power generation, transmission and distribution",284.7114374443855,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LT,Commodity,"Electric power generation, transmission and distribution",93.36432439294659,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LU,Commodity,"Electric power generation, transmission and distribution",38.695392248637695,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LV,Commodity,"Electric power generation, transmission and distribution",147.12862035653308,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,MT,Commodity,"Electric power generation, transmission and distribution",246.171081626044,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,NL,Commodity,"Electric power generation, transmission and distribution",305.623133819464,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,PL,Commodity,"Electric power generation, transmission and distribution",629.1947580836232,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,PT,Commodity,"Electric power generation, transmission and distribution",282.51837765172115,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,RO,Commodity,"Electric power generation, transmission and distribution",311.92810667237774,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SK,Commodity,"Electric power generation, transmission and distribution",238.94930687151657,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SI,Commodity,"Electric power generation, transmission and distribution",211.22000100726407,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,SE,Commodity,"Electric power generation, transmission and distribution",48.326662115697516,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,US,Commodity,"Electric power generation, transmission and distribution",412.9900080426205,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,AT,Activity,"Electric power generation, transmission and distribution",54.62509366359033,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,BE,Activity,"Electric power generation, transmission and distribution",140.96059887063743,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,BG,Activity,"Electric power generation, transmission and distribution",597.0284772027975,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,CY,Activity,"Electric power generation, transmission and distribution",497.2053350783368,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,CZ,Activity,"Electric power generation, transmission and distribution",333.1559307064154,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,DE,Activity,"Electric power generation, transmission and distribution",217.13344495049378,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,DK,Activity,"Electric power generation, transmission and distribution",127.20238494853115,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,ES,Activity,"Electric power generation, transmission and distribution",174.39880956082976,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,EE,Activity,"Electric power generation, transmission and distribution",450.15771159798726,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,FI,Activity,"Electric power generation, transmission and distribution",128.6482504582176,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,FR,Activity,"Electric power generation, transmission and distribution",40.57128460370302,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,HR,Activity,"Electric power generation, transmission and distribution",142.16794745445014,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,HU,Activity,"Electric power generation, transmission and distribution",197.1811140661896,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,IE,Activity,"Electric power generation, transmission and distribution",310.203432416415,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,IT,Activity,"Electric power generation, transmission and distribution",151.11753579494305,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LT,Activity,"Electric power generation, transmission and distribution",57.624139014939956,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LU,Activity,"Electric power generation, transmission and distribution",14.090496538246246,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,LV,Activity,"Electric power generation, transmission and distribution",62.3172234486624,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,MT,Activity,"Electric power generation, transmission and distribution",82.19568103886468,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,NL,Activity,"Electric power generation, transmission and distribution",239.17777564128133,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,PL,Activity,"Electric power generation, transmission and distribution",551.5664462310705,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,PT,Activity,"Electric power generation, transmission and distribution",149.69295710549488,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,RO,Activity,"Electric power generation, transmission and distribution",223.1291881502835,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SK,Activity,"Electric power generation, transmission and distribution",86.18621028340658,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SI,Activity,"Electric power generation, transmission and distribution",160.8639413928089,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,SE,Activity,"Electric power generation, transmission and distribution",36.37452403770981,Monetary
GLORIA,0.6,SUT,2017,,Intensity,GHG,g/kWh,US,Activity,"Electric power generation, transmission and distribution",380.9677989445581,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,AT,Activity,"Electric power generation, transmission and distribution",155.19209004106312,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,BE,Activity,"Electric power generation, transmission and distribution",187.50864074992776,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,BG,Activity,"Electric power generation, transmission and distribution",731.5938456015823,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,CY,Activity,"Electric power generation, transmission and distribution",554.3837909794006,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,CZ,Activity,"Electric power generation, transmission and distribution",461.5848113062683,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,DE,Activity,"Electric power generation, transmission and distribution",270.35247161449104,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,DK,Activity,"Electric power generation, transmission and distribution",154.37088894430468,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,ES,Activity,"Electric power generation, transmission and distribution",270.7195462563061,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,EE,Activity,"Electric power generation, transmission and distribution",647.2916138703353,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,FI,Activity,"Electric power generation, transmission and distribution",157.88295351773976,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,FR,Activity,"Electric power generation, transmission and distribution",105.60367815218146,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,HR,Activity,"Electric power generation, transmission and distribution",220.9554576162464,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,HU,Activity,"Electric power generation, transmission and distribution",234.3293700936546,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,IE,Activity,"Electric power generation, transmission and distribution",395.5856537246588,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,IT,Activity,"Electric power generation, transmission and distribution",284.7102637570025,Monetary
GLORIA,0.6,SUT,2017,,Footprint,GHG,g/kWh,LT,Activity,"Electric power generation, transmission and distribution",93.36601215723603,Monetary
