Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,DOM,Sector,"Electricity, Gas and Water",0.0032690838199574603
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ECU,Sector,"Electricity, Gas and Water",0.0018390420032586192
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,EGY,Sector,"Electricity, Gas and Water",0.005021543811285724
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,SLV,Sector,"Electricity, Gas and Water",0.0029466149539021666
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ERI,Sector,"Electricity, Gas and Water",0.013080774649613318
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,EST,Sector,"Electricity, Gas and Water",0.006640135944037717
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ETH,Sector,"Electricity, Gas and Water",0.31118592520763094
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,FJI,Sector,"Electricity, Gas and Water",0.008974955503485661
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,FIN,Sector,"Electricity, Gas and Water",0.0030513219324013853
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,FRA,Sector,"Electricity, Gas and Water",0.0005148435374980277
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,PYF,Sector,"Electricity, Gas and Water",0.006769605948577496
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GAB,Sector,"Electricity, Gas and Water",0.0012025872646350363
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GMB,Sector,"Electricity, Gas and Water",0.02617675897999247
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GEO,Sector,"Electricity, Gas and Water",0.00437313317323247
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,DEU,Sector,"Electricity, Gas and Water",0.0018819900209616784
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GHA,Sector,"Electricity, Gas and Water",0.0005811566654682699
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GRC,Sector,"Electricity, Gas and Water",0.005907692272361795
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GRL,Sector,"Electricity, Gas and Water",0.010214832962072349
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GTM,Sector,"Electricity, Gas and Water",0.001556905087332742
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GIN,Sector,"Electricity, Gas and Water",0.003089724568125842
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,GUY,Sector,"Electricity, Gas and Water",0.0003118188062698425
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,HTI,Sector,"Electricity, Gas and Water",0.006036295302974673
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,HND,Sector,"Electricity, Gas and Water",0.0027077855727270905
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,HKG,Sector,"Electricity, Gas and Water",0.0033087648138652756
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,HUN,Sector,"Electricity, Gas and Water",0.0020956474631661968
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ISL,Sector,"Electricity, Gas and Water",0.0006388339879123601
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,IND,Sector,"Electricity, Gas and Water",0.009929104583830168
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,IDN,Sector,"Electricity, Gas and Water",0.0068788393690577
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,IRN,Sector,"Electricity, Gas and Water",0.02856688698209607
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,IRQ,Sector,"Electricity, Gas and Water",0.0014478479702380901
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,IRL,Sector,"Electricity, Gas and Water",0.002106152402971348
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ISR,Sector,"Electricity, Gas and Water",0.004754489797436341
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ITA,Sector,"Electricity, Gas and Water",0.0016970571737159835
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,JAM,Sector,"Electricity, Gas and Water",0.0063751256712433774
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,JPN,Sector,"Electricity, Gas and Water",0.001922957783255104
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,JOR,Sector,"Electricity, Gas and Water",0.006826271804041229
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,KAZ,Sector,"Electricity, Gas and Water",0.00727615091793778
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,KEN,Sector,"Electricity, Gas and Water",0.002459615298235156
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,KWT,Sector,"Electricity, Gas and Water",0.014867282455067108
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,KGZ,Sector,"Electricity, Gas and Water",0.012594237955378272
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LAO,Sector,"Electricity, Gas and Water",0.0007387550153443442
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LVA,Sector,"Electricity, Gas and Water",0.0017287117550756938
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LBN,Sector,"Electricity, Gas and Water",0.0033549898386533686
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LSO,Sector,"Electricity, Gas and Water",0.0059497521892162165
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LBR,Sector,"Electricity, Gas and Water",0.023682555231058226
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LBY,Sector,"Electricity, Gas and Water",0.005263482378980855
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LIE,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LTU,Sector,"Electricity, Gas and Water",0.0016465195052175132
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,LUX,Sector,"Electricity, Gas and Water",0.0011250668379966106
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MAC,Sector,"Electricity, Gas and Water",0.001358334109971581
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MDG,Sector,"Electricity, Gas and Water",0.003369090248258773
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MWI,Sector,"Electricity, Gas and Water",0.0070017291229063075
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MYS,Sector,"Electricity, Gas and Water",0.004613347606540382
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MDV,Sector,"Electricity, Gas and Water",0.012512772540657961
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MLI,Sector,"Electricity, Gas and Water",0.003893415882519728
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MLT,Sector,"Electricity, Gas and Water",0.006219107878569673
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MRT,Sector,"Electricity, Gas and Water",0.006204646589226776
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MUS,Sector,"Electricity, Gas and Water",0.007956365969119087
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MEX,Sector,"Electricity, Gas and Water",0.003970911873361294
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MCO,Sector,"Electricity, Gas and Water",0.0
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MNG,Sector,"Electricity, Gas and Water",0.0036441153786806557
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MNE,Sector,"Electricity, Gas and Water",8.343980281014826e-05
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MAR,Sector,"Electricity, Gas and Water",0.003211942913255712
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MOZ,Sector,"Electricity, Gas and Water",0.0010821231943876476
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,MMR,Sector,"Electricity, Gas and Water",0.0013178638352924262
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NAM,Sector,"Electricity, Gas and Water",0.00100333353701857
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NPL,Sector,"Electricity, Gas and Water",0.0020911933109772837
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NLD,Sector,"Electricity, Gas and Water",0.0020389793347023785
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,ANT,Sector,"Electricity, Gas and Water",0.008212527706095108
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NCL,Sector,"Electricity, Gas and Water",0.003765784044924443
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/current 000 US$,NZL,Sector,"Electricity, Gas and Water",0.001547880077976516
